GEOID,nodes
20161,25607
19159,61
30009,2638
16007,1240
55011,7934
31185,480
08037,13337
42129,30465
40079,1224
48053,12426
36017,681
20109,238
47053,1491
27061,6837
25017,387873
36119,76295
46093,2402
54107,4224
19021,443
47021,10868
05019,2816
51105,949
27013,7751
56033,723
22087,3408
19015,3749
39035,112964
45027,4022
41035,5986
45015,17489
25005,37927
25015,29889
49025,5368
37127,6502
44007,37068
42111,8950
45059,11621
48057,797
49017,9919
48341,3011
27167,1079
48185,160
05073,4
49047,6474
53043,575
25025,182870
36025,14237
06059,259504
36115,4400
37043,1383
06111,82802
46127,1446
13021,5650
41051,217555
48035,846
17017,354
13049,362
29033,1506
31157,1394
26119,1026
09011,45916
13283,0
37119,243484
54043,178
45035,6093
34041,27749
12095,288505
47001,13819
05021,384
24047,6736
27145,40098
48471,5236
24003,89209
30059,5556
22053,189
22055,4042
39043,11737
01033,6216
38105,1024
22011,16
48407,575
13309,50
13279,784
24033,291373
29143,371
42097,13952
17129,494
12125,290
28079,195
31091,0
41043,12147
13077,11078
29087,78
10005,14057
06063,4982
12069,214710
42131,1698
51163,3995
22113,938
51001,1193
51099,2314
38037,2
18179,1986
32031,131642
38035,16740
19045,1976
22119,51
21093,12168
22081,0
22107,187
47173,466
51185,1860
40087,26494
17109,5113
27083,1759
46071,231
13153,1286
42051,8606
41021,31
01051,2131
05041,224
17197,167817
21119,246
13183,4018
05061,231
12127,141166
21025,576
20075,0
27139,34142
27015,3406
27053,362619
42027,68881
37147,13078
21017,788
45043,3091
56029,10578
21183,835
23023,6113
19175,305
20149,26995
19023,106
53021,57782
21007,75
45031,3141
22031,178
53071,4287
01023,99
18157,34573
48005,594
08059,125769
08067,3772
51029,857
26147,42069
20031,131
54085,1583
31007,0
48443,9
28121,10120
04015,15830
48421,6
30049,57592
48101,160
51047,4371
16031,1789
08077,35248
51179,44044
16025,1605
19143,90
51085,28675
54021,916
40089,81
28001,171
28145,323
08035,255234
26053,11969
01109,1476
51009,16939
34021,92375
47003,627
21013,854
40135,770
06015,4698
13163,219
12105,164817
55111,13537
49051,27820
41007,5878
54017,897
16077,2920
28051,73
48481,1624
48479,5671
28073,805
26047,12621
26103,12972
21239,4794
47037,121629
37007,508
37031,11127
47143,1265
26055,33035
18071,2711
34007,58153
37163,638
48223,424
21203,1210
54011,27784
13261,426
08043,6321
54071,1402
16023,587
29113,1647
54047,265
20067,0
12119,11374
51131,583
48387,34
48377,3106
31009,12
54033,3440
01041,122
46055,35
46123,221
37131,1835
51017,4403
12073,68146
30069,217
21063,129
55019,710
16005,3079
45073,5388
51081,13
08023,380
31005,5
22043,1277
13313,1302
30099,11937
21229,0
22057,3851
31103,0
28131,1001
48501,90
56013,4545
24025,109202
