course,link,latitude,longitude
Chili Disc Golf Course at Widener Park,https://www.pdga.com/course-directory/course/baker-farm,43.078015,-77.76597
S.Y. Wilson Arlington Sports Complex,https://www.pdga.com/course-directory/course/arlington-sports-plex,35.276650363268,-89.683654904366
10-3 at CB,https://www.pdga.com/course-directory/course/10-3-cb,38.898304,-106.96629
1000 Acres Ranch Disc Golf Course,https://www.pdga.com/course-directory/course/1000-acres-ranch-dgc,NA,NA
2022 Lucky Disc Golf Open Freeman North,https://www.pdga.com/course-directory/course/2022-lucky-disc-golf-open-freeman-north,43.5149513,-112.0481963
22nd St. Park,https://www.pdga.com/course-directory/course/22nd-st-park,28.018252,-82.4343
3 Creeks,https://www.pdga.com/course-directory/course/3-creeks,39.71220412457,-75.996345520052
5&20 Disc Golf at Lakefront Park,https://www.pdga.com/course-directory/course/520-disc-golf-lakefront-park,42.8743372,-76.9672676
50 Acre Park,https://www.pdga.com/course-directory/course/50-acre-park,41.7281245,-87.6921592
501 Disc Golf,https://www.pdga.com/course-directory/course/501-disc-golf-0,NA,NA
65th Infantry Veterans Disc Golf Course,https://www.pdga.com/course-directory/course/65th-infantry-veterans-disc-golf-course,28.325975,-81.347615
7 Acre Park Disc Golf,https://www.pdga.com/course-directory/course/7-acre-park-disc-golf,29.691459,-97.0973388
9 On Top at the Pumpkin Patch,https://www.pdga.com/course-directory/course/9-top-pumpkin-patch,35.153653,-85.318289
A. J. Jolly Park,https://www.pdga.com/course-directory/course/j-jolly-park,38.888177,-84.365709
A.L. Kinsaul Park,https://www.pdga.com/course-directory/course/al-kinsaul-park,30.2504322,-85.6612475
A.V. Anderson Park Disc Golf Course,https://www.pdga.com/course-directory/course/av-anderson-park-disc-golf-course,31.5437,-110.291496
Aant'iyeik Park,https://www.pdga.com/course-directory/course/aantiyeik-park,58.382703,-134.735889
Abendschein Park,https://www.pdga.com/course-directory/course/abendschein-park,42.898958,-87.897771
Abrams Park,https://www.pdga.com/course-directory/course/abrams-park,45.8188978,-122.7391339
Abundant Life Church,https://www.pdga.com/course-directory/course/abundant-life-church,45.183527736276,-93.241538524618
Acadian Baptist Center,https://www.pdga.com/course-directory/course/acadian-baptist-center,30.4297251,-92.3223285
Acadiana Park - Ace Run,https://www.pdga.com/course-directory/course/acadiana-park-ace-run,30.253737429327,-91.986357406076
Acadiana Park - Duzee,https://www.pdga.com/course-directory/course/acadiana-park-duzee,30.253992337443,-91.986191074386
